
2024/12/24 (03:26:38) | ===> btop++ v.1.4.0
2024/12/24 (03:26:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/24 (03:26:38) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/12/24 (03:26:38) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/24 (11:41:33) | ===> btop++ v.1.4.0
2024/12/24 (11:41:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/24 (11:41:33) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/12/24 (11:41:33) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/26 (16:42:07) | ===> btop++ v.1.4.0
2024/12/26 (16:42:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/26 (16:42:07) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/12/26 (16:42:07) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/26 (17:44:03) | ===> btop++ v.1.4.0
2025/01/26 (17:44:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/26 (17:44:03) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/01/26 (17:44:03) | WARNING: Intel GPU: Failed to initialize PMU
